CompanyCode,Region,Location,ItemGrp,ItemCategory,ItemSubCategory,C-Qtr,P-Qtr,Variance,Indicator,C-Qtr Quantity,P-Qtr Quantity,Variance,Indicator
BFPL,EAST,Cuttack,[CAN-VEG],B-BEANS,BAKED BEANS (24X450)GM,0.34,0.55,-0.38,?,0,1,-0.38,?
BFPL,EAST,Cuttack,[CAN-VEG],CORN,BABY CORN ( 24 x 800 gm ),0.18,0.00,-,?,0,0,-,?
BFPL,EAST,Cuttack,[CAN-VEG],CORN,BABY CORN (24X450)GM,0.39,0.76,-0.49,?,0,1,-0.49,?
BFPL,EAST,Cuttack,[CAN-VEG],CORN,SWEET CORN (24X450)GM,0.50,0.59,-0.16,?,1,1,-0.16,?
BFPL,EAST,Cuttack,[JAM],JAM 1 KG,MIX FRUIT JAM (12X1000)GM,0.39,0.47,-0.18,?,0,0,-0.19,?
BFPL,EAST,Cuttack,[JAM],JAM 1 KG,ORANGE MARMALADE (12X1000)GM,0.11,0.22,-0.49,?,0,0,-0.50,?
BFPL,EAST,Cuttack,[JAM],JAM 4KG,MIX FRUIT JAM (6X4)KG,0.00,0.31,-1.00,?,0,0,-1.00,?
BFPL,EAST,Cuttack,[JAM],JAM 4KG,MIX FRUIT JAM 4 X 4KG,0.82,0.93,-0.12,?,1,1,-0.11,?
BFPL,EAST,Cuttack,[JAM],JAM 200,MANGO JAM 48 X 200GM,0.03,0.02,1.00,?,0,0,1.00,?
BFPL,EAST,Cuttack,[JAM],JAM 200,MIXED JAM 48 X 200GM,0.05,0.29,-0.83,?,0,0,-0.83,?
BFPL,EAST,Cuttack,[JAM],JAM 200,ORANGE MARMALADE JAM 48 X200GM,0.03,0.07,-0.50,?,0,0,-0.50,?
BFPL,EAST,Cuttack,[JAM],JAM 200,PINEAPPLE JAM 48 X200GM,0.03,0.10,-0.67,?,0,0,-0.67,?
BFPL,EAST,Cuttack,[JAM],JAM 500,APPRICOT JAM 12X500GM,0.02,0.05,-0.67,?,0,0,-0.67,?
BFPL,EAST,Cuttack,[JAM],JAM 500,MANGO JAM (12X500)GM,0.01,0.03,-0.67,?,0,0,-0.67,?
BFPL,EAST,Cuttack,[JAM],JAM 500,MIX FRUIT JAM (12X500)GM,0.18,0.26,-0.31,?,0,0,-0.31,?
BFPL,EAST,Cuttack,[JAM],JAM 500,ORANGE MARMALADE (12X500)GM,0.08,0.10,-0.18,?,0,0,-0.18,?
BFPL,EAST,Cuttack,[JAM],JAM 500,PINEAPPLE JAM (12X500)GM,0.05,0.07,-0.25,?,0,0,-0.25,?
BFPL,EAST,Cuttack,[JUICES],JUCS250,APPLE DRINK(48X250)ML,0.07,0.02,2.00,?,0,0,2.00,?
BFPL,EAST,Cuttack,[JUICES],JUCS250,GUAVA DRINK 48X250ML,0.03,0.02,0.50,?,0,0,0.50,?
BFPL,EAST,Cuttack,[JUICES],JUCS250,MANGO DRINK(48X250)ML,0.04,0.00,-,?,0,0,-,?
BFPL,EAST,Cuttack,[JUICES],JUCS250,ORANGE DRINK(48X250)ML,0.04,0.00,-,?,0,0,-,?
BFPL,EAST,Cuttack,[JUICES],JUCS250,PINEAPPLE DRINK(48X250)ML,0.04,0.00,-,?,0,0,-,?
BFPL,EAST,Cuttack,[PUREE],PUREE,TOMATO PUREE (24X850)GM,0.33,0.67,-0.51,?,1,1,-0.50,?
BFPL,EAST,Cuttack,[SAUCE],SAUC 1KG,TOMATO KETCHUP (STANDY) (12 X 1000KG),0.01,0.00,-,?,0,0,-,?
BFPL,EAST,Cuttack,[SAUCE],SAUC 200,TOMATO CH SAUCE (24X200)GM,0.07,0.00,-,?,0,0,-,?
BFPL,EAST,Cuttack,[SAUCE],SAUC 200,TOMATO KETCH UP (24X200)GM,0.61,0.78,-0.22,?,0,1,-0.22,?
BFPL,EAST,Cuttack,[SQ & MANGO PANNA],SQ & MA,LEMON SQUASH (12X700)ML,0.15,0.00,-,?,0,0,-,?
BFPL,EAST,Cuttack,[SQ & MANGO PANNA],SQ & MA,LIME JUICE CORDIAL-P 12X700 ML,0.02,0.01,0.50,?,0,0,0.50,?
BFPL,EAST,Cuttack,[SQ & MANGO PANNA],SQ & MA,MANGO SQUASH (12X700)ML,0.13,0.00,-,?,0,0,-,?
BFPL,EAST,Cuttack,[SQ & MANGO PANNA],SQ & MA,ORANGE SQUASH (12X700)ML,0.48,0.00,-,?,1,0,-,?
BFPL,EAST,Cuttack,[SQ & MANGO PANNA],SQ & MA,PINEAPPLE SQUASH (12X700)ML,0.16,0.00,-,?,0,0,-,?
BFPL,EAST,Cuttack,[VINEGAR],VINEGAR,VINEGAR WHITE  12X700 ML,0.25,0.38,-0.34,?,1,1,-0.36,?
BFPL,EAST,Cuttack,[VINEGAR],VINEGAR,VINEGAR WHITE 24X300ML,0.23,0.31,-0.24,?,0,0,-0.25,?
BFPL,EAST,DCA,[CAN-VEG],B-BEANS,BAKED BEANS (24X450)GM,0.31,0.64,-0.51,?,0,1,-0.51,?
BFPL,EAST,DCA,[CAN-VEG],CORN,SWEET CORN (24X450)GM,0.05,0.12,-0.63,?,0,0,-0.64,?
BFPL,EAST,DCA,[JAM],JAM 1 KG,MANGO JAM (12X1000)GM,0.01,0.02,-0.72,?,0,0,-0.73,?
BFPL,EAST,DCA,[JAM],JAM 1 KG,MIX FRUIT JAM (12X1000)GM,0.02,0.06,-0.60,?,0,0,-0.59,?
BFPL,EAST,DCA,[JAM],JAM 1 KG,ORANGE MARMALADE (12X1000)GM,0.01,0.00,3.00,?,0,0,3.00,?
BFPL,EAST,DCA,[JAM],JAM 1 KG,PINEAPPLE JAM (12X1000)GM,0.02,0.04,-0.40,?,0,0,-0.40,?
BFPL,EAST,DCA,[JAM],JAM 200,GUAVA JELL JAM 48 X 200GM,0.00,0.02,-1.00,?,0,0,-1.00,?
BFPL,EAST,DCA,[JAM],JAM 200,MANGO JAM 48 X 200GM,0.03,0.05,-0.38,?,0,0,-0.38,?
BFPL,EAST,DCA,[JAM],JAM 200,MIXED JAM 48 X 200GM,0.08,0.13,-0.39,?,0,0,-0.39,?
BFPL,EAST,DCA,[JAM],JAM 200,ORANGE MARMALADE JAM 48 X200GM,0.00,0.03,-0.94,?,0,0,-0.94,?
